Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,150.75867946961716,152.61016559599886,150.33141566936578,152.50572204589844,22622100,0.0,0.0
2020-01-03 00:00:00-05:00,150.32190239946755,151.86954723170166,150.07502796286428,150.6067352294922,21116200,0.0,0.0
2020-01-06 00:00:00-05:00,149.14454679865977,151.0625033700607,148.60333542196298,150.99603271484375,20813700,0.0,0.0
2020-01-07 00:00:00-05:00,151.27138077488013,151.60369056590727,149.3724180103726,149.61927795410156,21634100,0.0,0.0
2020-01-08 00:00:00-05:00,150.9010700366723,152.67661008398238,149.97058233307885,152.00247192382812,27746500,0.0,0.0
2020-01-09 00:00:00-05:00,153.66410359141636,154.0249112471199,152.89502578883977,153.90147399902344,21385000,0.0,0.0
2020-01-10 00:00:00-05:00,154.59451241300243,154.9742990400356,153.03734957354553,153.18927001953125,20725900,0.0,0.0
2020-01-13 00:00:00-05:00,153.5880953510529,155.0597943161375,153.1133546841182,155.03131103515625,21626500,0.0,0.0
2020-01-14 00:00:00-05:00,155.13579469954706,155.33519220594115,153.55016220028816,153.939453125,23477400,0.0,0.0
2020-01-15 00:00:00-05:00,154.40466357354921,155.65798599963676,154.35720109299407,154.93637084960938,21417900,0.0,0.0
2020-01-16 00:00:00-05:00,156.0472507145809,157.84176971460525,155.7434097574871,157.77529907226562,23865400,0.0,0.0
2020-01-17 00:00:00-05:00,158.9621822424408,159.00965921241536,157.07270894577653,158.65835571289062,34371700,0.0,0.0
2020-01-21 00:00:00-05:00,158.25953798746136,159.69326403956893,158.02216765967506,158.08863830566406,29517200,0.0,0.0
2020-01-22 00:00:00-05:00,158.94317117317047,159.0286355049522,157.3100621026329,157.3290557861328,24138800,0.0,0.0
2020-01-23 00:00:00-05:00,157.7943375942632,158.3735219063668,156.92081632629257,158.2975616455078,19680800,0.0,0.0
2020-01-24 00:00:00-05:00,159.04758165168906,159.06657533124223,156.14217166115534,156.70236206054688,24918100,0.0,0.0
2020-01-27 00:00:00-05:00,153.0089446252311,155.12629889419816,152.10694005834853,154.0818634033203,32078100,0.0,0.0
2020-01-28 00:00:00-05:00,155.50604492516229,157.38601382767297,154.83192132073702,157.10118103027344,24899900,0.0,0.0
2020-01-29 00:00:00-05:00,159.36094890964196,160.22498042935823,157.3195697689756,159.55084228515625,34754500,0.0,0.0
2020-01-30 00:00:00-05:00,165.25719089738504,165.25719089738504,162.16187319144382,164.0513458251953,51597500,0.0,0.0
2020-01-31 00:00:00-05:00,163.51014040876393,163.6905296410646,161.0130005742657,161.63015747070312,36142700,0.0,0.0
2020-02-03 00:00:00-05:00,161.8200789361987,165.68447449319962,161.79159565835778,165.57054138183594,30107000,0.0,0.0
2020-02-04 00:00:00-05:00,168.1911186016925,171.51430318526613,167.40304737617856,171.02056884765625,36433300,0.0,0.0
2020-02-05 00:00:00-05:00,174.7330539466545,174.89446403969472,169.3969733266185,170.8116912841797,39186300,0.0,0.0
2020-02-06 00:00:00-05:00,171.82760240815628,174.53362944198756,170.96357109695458,174.3532257080078,27751400,0.0,0.0
2020-02-07 00:00:00-05:00,173.61267392584617,176.25223096972772,173.26135596790618,174.60012817382812,33529100,0.0,0.0
2020-02-10 00:00:00-05:00,174.30580444022337,179.30007159743232,173.99247382656716,179.16714477539062,35844300,0.0,0.0
2020-02-11 00:00:00-05:00,181.01863189628392,181.06610886617437,174.22984535212527,175.1223602294922,53159900,0.0,0.0
2020-02-12 00:00:00-05:00,176.20475203047337,176.46111605357248,172.6631906242822,175.3787078857422,47062900,0.0,0.0
2020-02-13 00:00:00-05:00,173.83103662761303,176.8218969013737,173.63163918165944,174.42921447753906,35295800,0.0,0.0
2020-02-14 00:00:00-05:00,173.99247235841844,176.04335572798814,173.42277770422567,175.98638916015625,23149500,0.0,0.0
2020-02-18 00:00:00-05:00,176.23320738570513,178.21761963094866,176.12876387343266,177.7713623046875,27792200,0.0,0.0
2020-02-19 00:00:00-05:00,179.0471979256966,179.16144226141978,177.53340236732572,178.30458068847656,29997500,0.51,0.0
2020-02-20 00:00:00-05:00,177.99036715778334,178.27599248114515,172.4207387260117,175.5816192626953,36862400,0.0,0.0
2020-02-21 00:00:00-05:00,174.3915250882964,174.70571148986244,168.75524447726494,170.03102111816406,48572600,0.0,0.0
2020-02-24 00:00:00-05:00,159.72957434916313,166.18463956657936,155.40714713360293,162.70004272460938,68311100,0.0,0.0
2020-02-25 00:00:00-05:00,165.8514056385486,166.46073285003268,159.61531360581694,160.01519775390625,68073300,0.0,0.0
2020-02-26 00:00:00-05:00,161.5765954218968,164.95644881112133,160.14848344532092,162.01454162597656,56206100,0.0,0.0
2020-02-27 00:00:00-05:00,155.49284470294847,159.02503365288237,150.40875483840358,150.5991668701172,93174900,0.0,0.0
2020-02-28 00:00:00-05:00,145.1056977436323,155.8641439606252,144.7153436590033,154.24560546875,97012700,0.0,0.0
2020-03-02 00:00:00-05:00,157.38747246115315,164.63276179137975,154.53124824993384,164.5089874267578,71030800,0.0,0.0
2020-03-03 00:00:00-05:00,165.4705910993296,166.61307787065545,154.48364057176903,156.6258087158203,71677000,0.0,0.0
2020-03-04 00:00:00-05:00,160.41507121846044,162.51914816724377,157.6826069544084,162.3763427734375,49814400,0.0,0.0
2020-03-05 00:00:00-05:00,158.09197981753212,162.6809715328232,157.7492324030183,158.3014373779297,47817300,0.0,0.0
2020-03-06 00:00:00-05:00,154.81690323310937,155.29294069283512,148.52368743443452,153.82675170898438,72821100,0.0,0.0
2020-03-09 00:00:00-04:00,143.76328229915575,150.1897866403432,142.8112075819428,143.4014892578125,70419300,0.0,0.0
2020-03-10 00:00:00-04:00,150.5801493440142,153.31259928936166,145.26757037585006,153.20787048339844,65354400,0.0,0.0
2020-03-11 00:00:00-04:00,149.59948831217446,150.14216328627552,143.90607167718443,146.26722717285156,56371600,0.0,0.0
2020-03-12 00:00:00-04:00,138.33645927607344,146.1149079701268,131.93851601607352,132.3955078125,93226400,0.0,0.0
2020-03-13 00:00:00-04:00,140.43099593883534,154.15039367274912,133.98544717617867,151.21800231933594,92727400,0.0,0.0
2020-03-16 00:00:00-04:00,133.29046629899992,142.19237110925772,128.53009250260706,128.92996215820312,87905900,0.0,0.0
2020-03-17 00:00:00-04:00,133.29044104633834,140.43100038810647,128.53006815182624,139.5455780029297,81059800,0.0,0.0
2020-03-18 00:00:00-04:00,131.38630647518264,139.0029039520048,128.54912798276825,133.67127990722656,81593200,0.0,0.0
2020-03-19 00:00:00-04:00,135.9276971037771,142.9539978968266,132.33837173085726,135.87057495117188,85922700,0.0,0.0
2020-03-20 00:00:00-04:00,139.00291200117317,140.05020002588367,129.34887472137007,130.76747131347656,84866200,0.0,0.0
2020-03-23 00:00:00-04:00,130.4437399557186,133.8331378449838,126.1689341603844,129.46310424804688,78975200,0.0,0.0
2020-03-24 00:00:00-04:00,136.86075403148243,142.43039748481058,134.49961256876347,141.23077392578125,82516700,0.0,0.0
2020-03-25 00:00:00-04:00,141.77344860070977,146.9336917873563,137.5176734833681,139.87881469726562,75638200,0.0,0.0
2020-03-26 00:00:00-04:00,141.28789935793438,149.15204677343388,141.25933827515485,148.62840270996094,64568100,0.0,0.0
2020-03-27 00:00:00-04:00,144.47731422169113,147.46682775364604,142.0495211925308,142.5255584716797,57042300,0.0,0.0
