Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MSFT - Open,MSFT - Close,MSFT - Volume,GOOGL - Open,GOOGL - Close,GOOGL - Volume
2020-01-02 00:00:00-05:00,71.47661470907116,72.52859683396065,71.223274257406,72.46827697753906,135480400,0.0,0.0,150.75867946961716,152.50572204589844,22622100,66.95867127115037,67.96522521972656,27278000
2020-01-03 00:00:00-05:00,71.69613685905041,72.52372302549678,71.53930679909044,71.7636947631836,146322800,0.0,0.0,150.32190239946755,150.6067352294922,21116200,66.93833093166674,67.60969543457031,23408000
2020-01-06 00:00:00-05:00,70.88547942287144,72.37416924858576,70.63454677653742,72.33556365966797,118387200,0.0,0.0,149.14454679865975,150.99603271484375,20813700,67.11856919518195,69.41175842285156,46768000
2020-01-07 00:00:00-05:00,72.34521969510813,72.60097528872254,71.77580380389517,71.99536895751953,108872000,0.0,0.0,151.27138077488013,149.61927795410156,21634100,69.54335656021222,69.2776870727539,34330000
2020-01-08 00:00:00-05:00,71.6985739444987,73.45508735263148,71.6985739444987,73.15348815917969,132079200,0.0,0.0,150.9010700366723,152.00247192382812,27746500,69.26328117365361,69.77078247070312,35314000
2020-01-09 00:00:00-05:00,74.13068273740295,74.90036463569696,73.87975745537804,74.70734405517578,170108400,0.0,0.0,153.66410359141636,153.90147399902344,21385000,70.6094889546629,70.50322723388672,33200000
2020-01-10 00:00:00-05:00,74.94137084294664,75.44082088635776,74.3743628731269,74.876220703125,140644800,0.0,0.0,154.59451241300243,153.18927001953125,20725900,70.98392563781249,70.9585952758789,26258000
2020-01-13 00:00:00-05:00,75.19229072850685,76.5024356673447,75.07405885483226,76.47589111328125,121532000,0.0,0.0,153.5880953510529,155.03131103515625,21626500,71.27093190331932,71.50830078125,30730000
2020-01-14 00:00:00-05:00,76.41318515734736,76.62309704687446,75.3201898237738,75.4432373046875,161954400,0.0,0.0,155.13579469954706,153.939453125,23477400,71.50680981258097,71.03953552246094,26076000
2020-01-15 00:00:00-05:00,75.24296601736016,76.12363416339696,74.68801909995545,75.11991119384766,121923600,0.0,0.0,154.4046635735492,154.93637084960938,21417900,71.1602052622877,71.46708679199219,21550000
2020-01-16 00:00:00-05:00,75.66280356227105,76.17190690767254,75.30088447470833,76.0609130859375,108829200,0.0,0.0,156.0472507145809,157.77529907226562,23865400,71.77744628827148,72.01133728027344,26080000
2020-01-17 00:00:00-05:00,76.30941686178534,76.90537714681764,76.00299474011516,76.90296936035156,137816400,0.0,0.0,158.9621822424408,158.65835571289062,34371700,72.626085344564,73.46926879882812,52424000
2020-01-21 00:00:00-05:00,76.53139743845387,76.97293540809704,76.24427442355741,76.38180541992188,110843200,0.0,0.0,158.25953798746136,158.08863830566406,29517200,73.44345017940596,73.60484313964844,48930000
2020-01-22 00:00:00-05:00,76.86676144697746,77.20696616699412,76.56033936565174,76.6544418334961,101832400,0.0,0.0,158.94317117317047,157.3290557861328,24138800,73.97628733938622,73.68528747558594,28458000
2020-01-23 00:00:00-05:00,76.70752240640822,77.10321665071739,76.15981365357148,77.02359771728516,104472000,0.0,0.0,157.7943375942632,158.2975616455078,19680800,73.86802372289836,73.72599792480469,26650000
2020-01-24 00:00:00-05:00,77.26973366124079,78.01287102929439,76.61103819892749,76.80165100097656,146537600,0.0,0.0,159.04758165168906,156.70236206054688,24918100,74.12971996265826,72.80635070800781,29786000
2020-01-27 00:00:00-05:00,74.81107521306389,75.223660842835,73.56124993820636,74.54325866699219,161940000,0.0,0.0,153.0089446252311,154.0818634033203,32078100,71.08671972598552,71.09615325927734,34132000
2020-01-28 00:00:00-05:00,75.42395006721497,76.82336779320974,75.32502461892797,76.65206146240234,162234000,0.0,0.0,155.50604492516229,157.10118103027344,24899900,71.59321023544943,72.02821350097656,29724000
2020-01-29 00:00:00-05:00,78.28308294677784,79.10343121061821,77.5423536234093,78.25653839111328,216229200,0.0,0.0,159.36094890964196,159.55084228515625,34754500,72.42347711634613,72.3360824584961,21566000
2020-01-30 00:00:00-05:00,77.33970834921887,78.19624735599628,76.90781612011679,78.1431655883789,126743200,0.0,0.0,165.25719089738504,164.0513458251953,51597500,71.41246783385319,72.21443939208984,27110000
2020-01-31 00:00:00-05:00,77.43379716634335,77.85603612229534,74.38402933624978,74.67839050292969,199588400,0.0,0.0,163.51014040876393,161.63015747070312,36142700,72.89026812670592,71.14828491210938,43822000
2020-02-03 00:00:00-05:00,73.42130763220082,75.63866557981345,72.91944979414838,74.4732894897461,173788400,0.0,0.0,161.8200789361987,165.57054138183594,30107000,72.5818823981462,73.62220764160156,71636000
2020-02-04 00:00:00-05:00,76.07779194419663,77.1225356625265,75.67244439973094,76.93192291259766,136616400,0.0,0.0,168.1911186016925,171.02056884765625,36433300,72.2263518292056,71.77545928955078,95880000
2020-02-05 00:00:00-05:00,78.0587078925949,78.35789935199301,76.95606664401838,77.55926513671875,118826800,0.0,0.0,174.7330539466545,170.8116912841797,39186300,72.6792121800727,71.8072280883789,36376000
2020-02-06 00:00:00-05:00,77.82949504667184,78.46888396119307,77.27214024163042,78.46646881103516,105425600,0.0,0.0,171.82760240815628,174.3532257080078,27751400,72.1017069989846,73.2929916381836,37822000
2020-02-07 00:00:00-05:00,77.96583518982163,78.21494247737544,76.90894303407646,77.39990234375,117684000,0.1925,0.0,173.61267392584617,174.60012817382812,33529100,72.86693661087277,73.44892120361328,28360000
2020-02-10 00:00:00-05:00,75.98505390529154,77.76750183105469,75.90524599878522,77.76750183105469,109348800,0.0,0.0,174.30580444022337,179.16714477539062,35844300,73.35555980846348,74.91629028320312,38302000
2020-02-11 00:00:00-05:00,78.26330376451229,78.33585640766411,77.08064401597953,77.29830932617188,94323200,0.0,0.0,181.01863189628392,175.1223602294922,53159900,75.145209490697,74.98580932617188,34852000
2020-02-12 00:00:00-05:00,77.74815764169257,79.13880655058661,77.74815764169257,79.13397216796875,113730400,0.0,0.0,176.20475203047337,175.3787078857422,47062900,75.27382928475085,75.41138458251953,31042000
2020-02-13 00:00:00-05:00,78.40599987113015,78.8969591321478,78.20284507837152,78.5704574584961,94747600,0.0,0.0,173.83103662761303,174.42921447753906,35295800,74.98284287407141,75.15118408203125,22914000
2020-02-14 00:00:00-05:00,78.53901899642953,78.83892050632156,78.08192253766144,78.58981323242188,80113600,0.0,0.0,173.99247235841844,175.98638916015625,23149500,75.20779068392721,75.41635131835938,23198000
2020-02-18 00:00:00-05:00,76.2704349958008,77.3321687046637,76.08904601525819,77.1507797241211,152531200,0.0,0.0,176.23320738570513,177.7713623046875,27792200,75.19835617848237,75.45160675048828,25642000
2020-02-19 00:00:00-05:00,77.39263964512776,78.49790505143669,77.39263964512776,78.26814270019531,93984000,0.0,0.0,179.0471979256966,178.30458068847656,29997500,75.83694765555981,75.72124481201172,22746000
2020-02-20 00:00:00-05:00,78.02871401030635,78.51725240619737,76.95972489443142,77.46519470214844,100566000,0.0,0.0,177.99036715778334,175.5816192626953,36862400,75.43024689467184,75.32994079589844,25962000
2020-02-21 00:00:00-05:00,77.05888657687778,77.50147989029539,75.09504942814512,75.7117691040039,129554000,0.0,0.0,174.3915250882964,170.03102111816406,48572600,74.71368322798507,73.6649169921875,42520000
2020-02-24 00:00:00-05:00,71.89294062243466,73.56655262581305,69.95086901349747,72.11544036865234,222195200,0.0,0.0,159.72957434916313,162.70004272460938,68311100,70.66511381109099,70.50670623779297,49560000
2020-02-25 00:00:00-05:00,72.78537928554614,73.16750228692123,69.20113004030677,69.67273712158203,230673600,0.0,0.0,165.8514056385486,160.01519775390625,68073300,71.0598926260904,68.84119415283203,51580000
2020-02-26 00:00:00-05:00,69.29783665601597,72.04285767425863,69.29058139298435,70.77796936035156,198054800,0.0,0.0,161.5765954218968,162.01454162597656,56206100,69.2712214294434,69.0472640991211,49776000
2020-02-27 00:00:00-05:00,67.98460193931137,69.16967532004576,66.01592302206369,66.15135955810547,320605600,0.0,0.0,155.49284470294847,150.5991668701172,93174900,67.49150271843352,65.29713439941406,62290000
2020-02-28 00:00:00-05:00,62.21885173263986,67.3340203730767,62.00359989656375,66.11266326904297,426510000,0.0,0.0,145.1056977436323,154.24560546875,97012700,63.27906196423352,66.50382232666016,80198000
2020-03-02 00:00:00-05:00,68.2699714851257,72.90385595913628,67.16712712972084,72.26778411865234,341397200,0.0,0.0,157.38747246115315,164.5089874267578,71030800,67.10665938377004,68.84119415283203,55430000
2020-03-03 00:00:00-05:00,73.4432035732901,73.52301148955354,69.12130192834442,69.97262573242188,319475600,0.0,0.0,165.4705910993296,156.6258087158203,71677000,69.40530636805653,66.42784118652344,56602000
2020-03-04 00:00:00-05:00,71.69460475808327,73.37789254779408,70.89407525882817,73.21826934814453,219178400,0.0,0.0,160.41507121846044,162.3763427734375,49814400,67.4825543345472,68.60680389404297,47598000
